QID,Domain,Bloom_Level,Difficulty,Question
182,IoT,Analysis,Medium,"Analyze the power consumption trade-offs in low-power IoT devices."
183,Artificial Intelligence,Evaluation,Hard,"Critique the ethical concerns surrounding autonomous weapons."
184,Cloud Computing,Knowledge,Easy,"What is object storage?"
185,Cybersecurity,Synthesis,Hard,"Design a security policy for a company's bring-your-own-device (BYOD) program."
186,Machine Learning,Comprehension,Medium,"Explain how a recommendation engine works."
187,Data Science,Application,Medium,"Demonstrate data cleaning techniques on a noisy dataset."
188,Big Data,Evaluation,Hard,"Evaluate the total cost of ownership (TCO) for an on-premise Hadoop cluster vs. a cloud-based solution."
189,DevOps,Application,Hard,"Use Ansible to automate server configuration."
190,IoT,Comprehension,Easy,"Describe the function of an IoT gateway."
191,Artificial Intelligence,Analysis,Medium,"Compare knowledge-based systems and machine learning systems."
192,Cloud Computing,Comprehension,Medium,"Explain the shared responsibility model in cloud security."
193,Cybersecurity,Knowledge,Hard,"Define 'threat intelligence'."
194,Machine Learning,Analysis,Hard,"Differentiate between batch gradient descent and stochastic gradient descent."
195,Data Science,Knowledge,Medium,"What is a confusion matrix?"
196,Big Data,Comprehension,Easy,"Explain what is meant by the '3 V's' of Big Data."
197,DevOps,Evaluation,Medium,"Assess the benefits of adopting a GitFlow workflow."
198,IoT,Application,Hard,"Apply predictive maintenance using IoT sensor data from industrial machinery."
199,Artificial Intelligence,Knowledge,Easy,"What is speech recognition?"
200,Cloud Computing,Analysis,Hard,"Analyze the impact of network latency on cloud application performance."
201,Cybersecurity,Comprehension,Medium,"Explain the role of a Certificate Authority (CA) in PKI."
202,Machine Learning,Application,Easy,"Apply a simple linear regression model to a dataset."
203,Data Science,Analysis,Medium,"Compare Python and R for data analysis tasks."
204,Big Data,Knowledge,Easy,"What is data ingestion?"
205,DevOps,Synthesis,Hard,"Design a monitoring and alerting strategy for a microservices architecture."
206,IoT,Evaluation,Hard,"Critique the lack of standardization in the IoT industry."
207,Artificial Intelligence,Comprehension,Hard,"Describe the architecture of a Convolutional Neural Network (CNN)."
208,Cloud Computing,Synthesis,Hard,"Propose a new service model that combines serverless functions with container orchestration."
209,Cybersecurity,Application,Hard,"Demonstrate how to use Wireshark to analyze network traffic for suspicious activity."
210,Machine Learning,Knowledge,Medium,"Define 'hyperparameter tuning'."
211,Data Science,Comprehension,Medium,"Explain the concept of statistical significance."
212,Big Data,Analysis,Hard,"Analyze the consistency models in NoSQL databases (e.g., eventual consistency)."
213,DevOps,Knowledge,Easy,"What is a code repository?"
214,IoT,Knowledge,Medium,"Define 'digital twin'."
215,Artificial Intelligence,Evaluation,Medium,"Assess the limitations of using chatbots for complex customer service issues."
216,Cloud Computing,Application,Medium,"Use a cloud provider's IAM service to set up role-based access control."
217,Cybersecurity,Knowledge,Easy,"What is social engineering?"
218,Machine Learning,Comprehension,Easy,"Explain what a feature vector is."
219,Data Science,Application,Medium,"Apply sentiment analysis to a set of product reviews."
220,Big Data,Comprehension,Medium,"Describe the process of ETL (Extract, Transform, Load)."
221,DevOps,Analysis,Medium,"Compare the functionalities of Jenkins and GitLab CI."
222,IoT,Synthesis,Hard,"Design an IoT-based system for smart agriculture."
223,Artificial Intelligence,Knowledge,Hard,"What is a Recurrent Neural Network (RNN)?"
224,Cloud Computing,Evaluation,Hard,"Evaluate the security implications of using multi-tenant cloud environments."
225,Cybersecurity,Analysis,Medium,"Analyze the differences between symmetric and asymmetric encryption."
226,Machine Learning,Synthesis,Hard,"Propose a novel feature selection method for high-dimensional data."
227,Data Science,Knowledge,Easy,"What is a p-value?"
228,Big Data,Application,Hard,"Implement a solution for processing large-scale graph data using a suitable framework."
229,DevOps,Evaluation,Medium,"Critique the challenges of managing secrets in a DevOps pipeline."
230,IoT,Comprehension,Medium,"Explain how firmware over-the-air (FOTA) updates work for IoT devices."
231,Artificial Intelligence,Application,Medium,"Demonstrate the use of an expert system for medical diagnosis."
232,Cloud Computing,Knowledge,Medium,"What is a Virtual Private Cloud (VPC)?"
233,Cybersecurity,Comprehension,Easy,"Describe the purpose of a security audit."
234,Machine Learning,Analysis,Hard,"Analyze the trade-offs between model interpretability and accuracy."
235,Data Science,Evaluation,Hard,"Assess the impact of data bias on machine learning model fairness."
236,Big Data,Knowledge,Medium,"Define 'data governance'."
237,DevOps,Application,Medium,"Apply Terraform to provision cloud infrastructure."
238,IoT,Analysis,Hard,"Analyze the challenges of data privacy in consumer IoT devices."
239,Artificial Intelligence,Synthesis,Hard,"Develop a framework for ethical AI development and deployment."
240,Cloud Computing,Analysis,Medium,"Compare block storage, file storage, and object storage."
241,Cybersecurity,Application,Medium,"Apply the principle of defense-in-depth to secure a corporate network."
242,Machine Learning,Comprehension,Hard,"Explain the concept of backpropagation in neural networks."
243,Data Science,Knowledge,Easy,"What is data normalization?"
244,Big Data,Evaluation,Medium,"Critique the complexity of maintaining a Hadoop ecosystem."
245,DevOps,Knowledge,Easy,"What is a deployment script?"
246,IoT,Knowledge,Easy,"What is Zigbee?"
247,Artificial Intelligence,Analysis,Hard,"Differentiate between generative and discriminative models in AI."
248,Cloud Computing,Application,Easy,"Demonstrate how to launch a virtual machine in a public cloud."
249,Cybersecurity,Evaluation,Hard,"Evaluate the effectiveness of user security training against phishing attacks."
250,Machine Learning,Knowledge,Medium,"What is transfer learning?"
251,Data Science,Comprehension,Medium,"Explain the difference between a bar chart and a histogram."
252,Big Data,Analysis,Medium,"Analyze the use cases for stream processing vs. batch processing."
253,DevOps,Comprehension,Hard,"Explain the concept of 'immutable infrastructure'."
254,IoT,Application,Medium,"Design a system to monitor environmental conditions using IoT sensors."
255,Artificial Intelligence,Application,Hard,"Apply natural language generation (NLG) to create a news summary."
256,Cloud Computing,Evaluation,Medium,"Assess the cost-efficiency of using reserved instances vs. on-demand instances."
257,Cybersecurity,Knowledge,Medium,"Define 'ransomware'."
258,Machine Learning,Comprehension,Medium,"Describe the K-means clustering algorithm."
259,Data Science,Synthesis,Hard,"Propose a methodology for detecting anomalies in financial transaction data."
260,Big Data,Synthesis,Hard,"Design a data pipeline for collecting and analyzing social media data in real-time."
261,DevOps,Evaluation,Hard,"Evaluate the security risks of storing secrets in version control."
262,IoT,Analysis,Medium,"Compare the advantages of using cellular vs. Wi-Fi for IoT connectivity."
263,Artificial Intelligence,Knowledge,Easy,"What is a heuristic function?"
264,Cloud Computing,Analysis,Hard,"Analyze the performance bottlenecks in a distributed cloud database."
265,Cybersecurity,Comprehension,Hard,"Explain how DNS spoofing works."
266,Machine Learning,Application,Medium,"Use a decision tree for a credit scoring application."
267,Data Science,Analysis,Easy,"Analyze the components of a box plot."
268,Big Data,Comprehension,Medium,"Explain the role of YARN in Hadoop 2.x."
269,DevOps,Knowledge,Medium,"What is a container registry?"
270,IoT,Evaluation,Medium,"Assess the challenges of integrating IoT devices from different manufacturers."
271,Artificial Intelligence,Comprehension,Medium,"Describe the function of an activation function in a neural network."
272,Cloud Computing,Application,Hard,"Implement a serverless API using AWS Lambda and API Gateway."
273,Cybersecurity,Synthesis,Hard,"Design a comprehensive incident response plan for a data breach."
274,Machine Learning,Evaluation,Hard,"Critique the 'black box' nature of complex neural networks."
275,Data Science,Knowledge,Medium,"Define 'Big O notation' in the context of algorithm analysis."
276,Big Data,Application,Medium,"Apply data compression techniques to reduce storage costs in a data warehouse."
277,DevOps,Analysis,Medium,"Analyze the benefits of ChatOps in a development team."
278,IoT,Knowledge,Hard,"What is LoRaWAN?"
279,Artificial Intelligence,Analysis,Hard,"Compare the A* search algorithm with Dijkstra's algorithm."
280,Cloud Computing,Knowledge,Easy,"What is cloud bursting?"
281,Cybersecurity,Application,Medium,"Apply encryption to protect data at rest and in transit."
282,Machine Learning,Comprehension,Easy,"Explain what is meant by a 'training set' and 'test set'."
283,Data Science,Comprehension,Medium,"Describe the purpose of cross-validation."
284,Big Data,Evaluation,Hard,"Evaluate the suitability of Apache Kafka for high-throughput messaging."
285,DevOps,Synthesis,Hard,"Propose a new workflow for integrating security testing into a CI/CD pipeline (DevSecOps)."
286,IoT,Comprehension,Medium,"Explain the difference between a sensor and an actuator in IoT."
287,Artificial Intelligence,Application,Medium,"Demonstrate the use of NLP for sentiment classification."
288,Cloud Computing,Analysis,Medium,"Compare the pricing models of major cloud providers (e.g., AWS, Azure, GCP)."
289,Cybersecurity,Knowledge,Medium,"What is an intrusion prevention system (IPS)?"
290,Machine Learning,Analysis,Medium,"Analyze how to handle missing data in a dataset."
291,Data Science,Application,Hard,"Build a predictive model to forecast stock prices using historical data."
292,Big Data,Knowledge,Easy,"What is a data lakehouse?"
293,DevOps,Comprehension,Easy,"Explain the concept of 'build automation'."
294,IoT,Analysis,Hard,"Analyze the ethical considerations of collecting personal data through IoT devices."
295,Artificial Intelligence,Evaluation,Medium,"Assess the practical applications of swarm intelligence."
296,Cloud Computing,Synthesis,Easy,"Propose a simple cloud architecture for a new startup's website."
297,Cybersecurity,Evaluation,Hard,"Evaluate the challenges of attributing cyberattacks to specific actors."
298,Machine Learning,Knowledge,Hard,"Define 'ensemble learning'."
299,Data Science,Comprehension,Hard,"Explain the mathematical foundation of Principal Component Analysis (PCA)."
300,Big Data,Analysis,Hard,"Compare the performance of row-oriented and column-oriented databases for analytical queries."
301,Artificial Intelligence,Knowledge,Easy,"Define 'machine perception'."
302,Cloud Computing,Comprehension,Medium,"Explain how a public key infrastructure (PKI) is used in cloud security."
303,Cybersecurity,Analysis,Hard,"Analyze the anatomy of a ransomware attack."
304,Machine Learning,Application,Medium,"Use the DBSCAN algorithm to find clusters of arbitrary shape."
305,Data Science,Evaluation,Hard,"Assess the validity of a statistical model's assumptions."
306,Big Data,Knowledge,Medium,"What is Apache Hive?"
307,DevOps,Comprehension,Medium,"Describe the role of a Site Reliability Engineer (SRE)."
308,IoT,Application,Hard,"Design an IoT solution for real-time fleet management and tracking."
309,Artificial Intelligence,Analysis,Medium,"Compare symbolic AI with connectionist AI."
310,Cloud Computing,Evaluation,Hard,"Critique the performance consistency of 'burstable' VM instances."
311,Cybersecurity,Application,Easy,"Demonstrate how to identify a phishing email."
312,Machine Learning,Comprehension,Hard,"Explain the concept of entropy and information gain in decision trees."
313,Data Science,Analysis,Medium,"Analyze the impact of sample size on the reliability of survey results."
314,Big Data,Application,Hard,"Use Apache Flink for complex event processing on a data stream."
315,DevOps,Knowledge,Easy,"What is a 'pull request'?"
316,IoT,Evaluation,Medium,"Evaluate the trade-offs between battery life and data transmission frequency in IoT sensors."
317,Artificial Intelligence,Knowledge,Medium,"What is knowledge engineering?"
318,Cloud Computing,Analysis,Easy,"Compare the use cases for virtual machines vs. containers."
319,Cybersecurity,Knowledge,Hard,"Define 'threat modeling'."
320,Machine Learning,Synthesis,Hard,"Design a hybrid model combining a clustering algorithm and a classifier for anomaly detection."
321,Data Science,Knowledge,Easy,"What is a Jupyter Notebook?"
322,Big Data,Comprehension,Easy,"Explain the concept of data locality in HDFS."
323,DevOps,Application,Medium,"Apply monitoring tools like Prometheus and Grafana to a set of microservices."
324,IoT,Synthesis,Hard,"Propose a framework for ensuring end-to-end security in an IoT ecosystem."
325,Artificial Intelligence,Comprehension,Medium,"Explain how case-based reasoning works."
326,Cloud Computing,Synthesis,Hard,"Design a globally distributed, fault-tolerant application architecture."
327,Cybersecurity,Evaluation,Medium,"Assess the limitations of antivirus software against new malware."
328,Machine Learning,Analysis,Hard,"Compare the robustness of SVM and logistic regression to outliers."
329,Data Science,Application,Medium,"Use regular expressions to parse and clean text data."
330,Big Data,Evaluation,Hard,"Evaluate the scalability and fault tolerance of Apache Cassandra."
331,DevOps,Analysis,Hard,"Analyze the cultural changes required for a successful DevOps transformation."
332,IoT,Comprehension,Medium,"Describe how Bluetooth Low Energy (BLE) is used in IoT."
333,Artificial Intelligence,Evaluation,Hard,"Critique the explainability of deep learning models in high-stakes decisions."
334,Cloud Computing,Knowledge,Medium,"What is a service level agreement (SLA)?"
335,Cybersecurity,Comprehension,Medium,"Explain the difference between a vulnerability and an exploit."
336,Machine Learning,Application,Hard,"Apply a Random Forest model to improve prediction accuracy over a single decision tree."
337,Data Science,Knowledge,Medium,"Define 'standard deviation'."
338,Big Data,Analysis,Medium,"Analyze the benefits of using Parquet file format in a data lake."
339,DevOps,Knowledge,Easy,"What is 'technical debt'?"
340,IoT,Analysis,Medium,"Analyze the data processing pipeline from an IoT sensor to a cloud dashboard."
341,Artificial Intelligence,Synthesis,Hard,"Design an AI system that can compose a short piece of music."
342,Cloud Computing,Application,Medium,"Apply a backup and restore strategy for a cloud-hosted database."
343,Cybersecurity,Knowledge,Easy,"What is a VPN?"
344,Machine Learning,Comprehension,Easy,"Explain the purpose of a loss function."
345,Data Science,Comprehension,Hard,"Describe the difference between parametric and non-parametric statistical tests."
346,Big Data,Knowledge,Easy,"What is Apache Zookeeper?"
347,DevOps,Evaluation,Medium,"Assess the value of pair programming in an agile team."
348,IoT,Application,Easy,"Demonstrate how an IoT smart plug works."
349,Artificial Intelligence,Comprehension,Medium,"Explain the concept of a 'state space' in AI search problems."
350,Cloud Computing,Analysis,Hard,"Analyze the security risks associated with cloud APIs."
351,Cybersecurity,Knowledge,Hard,"Define 'obfuscation' in the context of malware."
352,Machine Learning,Evaluation,Hard,"Evaluate different metrics for an imbalanced classification problem (e.g., precision, recall, F1-score)."
353,Data Science,Application,Medium,"Apply market basket analysis to find associations in retail transaction data."
354,Big Data,Synthesis,Hard,"Propose a new method for efficiently querying petabyte-scale datasets."
355,DevOps,Comprehension,Hard,"Explain the 'cattle vs. pets' analogy for servers."
356,IoT,Evaluation,Hard,"Critique the privacy policies of popular smart home device manufacturers."
357,Artificial Intelligence,Analysis,Medium,"Compare and contrast pathfinding algorithms like Breadth-First Search and Depth-First Search."
358,Cloud Computing,Knowledge,Medium,"What is 'cloud-native'?"
359,Cybersecurity,Application,Hard,"Demonstrate an SQL injection attack on a vulnerable web application."
360,Machine Learning,Comprehension,Medium,"Describe how a support vector is used in SVM."
361,Data Science,Synthesis,Hard,"Design a system for real-time fraud detection."
362,Big Data,Analysis,Medium,"Analyze the trade-offs of different data serialization formats like JSON, Avro, and Protobuf."
363,DevOps,Application,Easy,"Demonstrate a basic Git workflow: clone, commit, push."
364,IoT,Knowledge,Easy,"What is an actuator?"
365,Artificial Intelligence,Knowledge,Hard,"What is a Generative Adversarial Network (GAN)?"
366,Cloud Computing,Comprehension,Easy,"Explain the pay-as-you-go pricing model."
367,Cybersecurity,Evaluation,Medium,"Assess the role of human error in cybersecurity breaches."
368,Machine Learning,Analysis,Hard,"Analyze the effect of the learning rate in training a neural network."
369,Data Science,Comprehension,Medium,"Explain the concept of a 'confidence interval'."
370,Big Data,Application,Medium,"Use a distributed query engine like Presto or Trino to query data in a data lake."
371,DevOps,Analysis,Hard,"Compare and contrast the DevOps and SRE philosophies."
372,IoT,Comprehension,Hard,"Explain the challenges of time synchronization in a distributed sensor network."
373,Artificial Intelligence,Application,Hard,"Apply reinforcement learning to train an agent to play a simple game."
374,Cloud Computing,Evaluation,Hard,"Evaluate the hidden costs of cloud migration."
375,Cybersecurity,Knowledge,Medium,"Define 'sandboxing'."
376,Machine Learning,Knowledge,Easy,"What is 'one-hot encoding'?"
377,Data Science,Application,Hard,"Apply natural language processing to extract named entities from a document."
378,Big Data,Evaluation,Medium,"Critique the learning curve associated with the Big Data technology stack."
379,DevOps,Knowledge,Medium,"What is a canary release?"
380,IoT,Synthesis,Hard,"Design an IoT system for monitoring and controlling a city's street lighting."
381,Artificial Intelligence,Comprehension,Medium,"Describe the components of a typical expert system."
382,Cloud Computing,Analysis,Medium,"Analyze the impact of data gravity on cloud architecture decisions."
383,Cybersecurity,Application,Medium,"Apply security hardening techniques to a Linux server."
384,Machine Learning,Comprehension,Medium,"Explain the difference between classification and regression."
385,Data Science,Evaluation,Hard,"Evaluate the bias introduced by different data sampling methods."
386,Big Data,Comprehension,Hard,"Explain the CAP theorem and its implications for distributed databases."
387,DevOps,Synthesis,Hard,"Propose a strategy for implementing 'chaos engineering' to test system resilience."
388,IoT,Analysis,Hard,"Analyze the regulatory and compliance challenges in IoT for healthcare."
389,Artificial Intelligence,Knowledge,Medium,"Define 'affective computing'."
390,Cloud Computing,Application,Hard,"Design and implement a CI/CD pipeline for a containerized application on Kubernetes."
391,Cybersecurity,Comprehension,Easy,"Explain the CIA triad (Confidentiality, Integrity, Availability)."
392,Machine learning,Analysis,Medium,"Compare the computational complexity of KNN and decision trees."
393,Data Science,Knowledge,Easy,"What is an API?"
394,Big Data,Application,Easy,"Demonstrate a simple query using Apache HiveQL."
395,DevOps,Evaluation,Medium,"Assess the effectiveness of automated testing in improving software quality."
396,IoT,Knowledge,Medium,"What is a Real-Time Operating System (RTOS)?"
397,Artificial Intelligence,Evaluation,Hard,"Critique the progress towards achieving Artificial General Intelligence (AGI)."
398,Cloud Computing,Comprehension,Medium,"Explain the concept of 'vendor lock-in'."
399,Cybersecurity,Analysis,Medium,"Analyze the attack surface of a typical web application."
400,Machine Learning,Application,Hard,"Apply transfer learning using a pre-trained model for a new image classification task."
401,Data Science,Knowledge,Medium,"What is the difference between supervised and unsupervised learning?"
402,Big Data,Analysis,Hard,"Compare the architectural patterns of Lambda and Kappa for big data processing."
403,DevOps,Knowledge,Easy,"What is a 'sprint' in Agile methodology?"
404,IoT,Comprehension,Medium,"Describe the role of cloud platforms in IoT data management."
405,Artificial Intelligence,Application,Medium,"Use a planner like STRIPS to solve a simple logistics problem."
406,Cloud Computing,Evaluation,Medium,"Assess the suitability of a serverless architecture for long-running tasks."
407,Cybersecurity,Synthesis,Hard,"Develop a threat model for a new mobile banking application."
408,Machine Learning,Knowledge,Hard,"Define the 'kernel trick' in SVMs."
409,Data Science,Comprehension,Medium,"Explain the concept of a 'null hypothesis'."
410,Big Data,Evaluation,Hard,"Evaluate the performance of different NoSQL database types (key-value, document, columnar) for specific workloads."
411,DevOps,Analysis,Medium,"Analyze the feedback loops in a DevOps culture."
412,IoT,Application,Medium,"Apply edge computing to reduce latency in an IoT video surveillance system."
413,Artificial Intelligence,Comprehension,Hard,"Explain how a Long Short-Term Memory (LSTM) network works."
414,Cloud Computing,Synthesis,Hard,"Design a multi-region, highly available architecture for a critical online service."
415,Cybersecurity,Knowledge,Easy,"What is 'data loss prevention' (DLP)?"
416,Machine Learning,Application,Medium,"Use text vectorization techniques like TF-IDF for document classification."
417,Data Science,Analysis,Hard,"Analyze the ethical considerations of A/B testing on users without their explicit consent."
418,Big Data,Comprehension,Medium,"Describe the purpose of a cluster manager like Mesos or YARN."
419,DevOps,Application,Hard,"Implement a blue-green deployment strategy for a web application."
420,IoT,Evaluation,Medium,"Critique the current state of interoperability among smart home ecosystems."
421,Artificial Intelligence,Knowledge,Medium,"Define 'probabilistic reasoning'."
422,Cloud Computing,Analysis,Hard,"Analyze the cost implications of data egress fees in cloud computing."
423,Cybersecurity,Comprehension,Medium,"Explain the difference between a white-hat, black-hat, and grey-hat hacker."
424,Machine Learning,Evaluation,Hard,"Evaluate the impact of choosing different activation functions in a neural network."
425,Data Science,Knowledge,Easy,"What is a scatter plot?"
426,Big Data,Application,Hard,"Use a graph database like Neo4j to model and query a social network."
427,DevOps,Knowledge,Medium,"What is 'continuous monitoring'?"
428,IoT,Analysis,Medium,"Compare the security features of Zigbee and Z-Wave."
429,Artificial Intelligence,Synthesis,Hard,"Propose an AI model to predict traffic congestion in a city."
430,Cloud Computing,Application,Easy,"Demonstrate how to create a static website hosted on a cloud storage service."
431,Cybersecurity,Analysis,Medium,"Analyze the security risks associated with public Wi-Fi networks."
432,Machine Learning,Comprehension,Easy,"Explain what is meant by 'feature scaling'."
433,Data Science,Application,Medium,"Apply clustering to segment customers based on their purchasing behavior."
434,Big Data,Knowledge,Medium,"What is Apache Airflow?"
435,DevOps,Comprehension,Hard,"Explain how service discovery works in a microservices architecture."
436,IoT,Synthesis,Hard,"Design a wearable IoT device for monitoring the health of elderly individuals."
437,Artificial Intelligence,Evaluation,Medium,"Assess the performance of different NLP libraries (e.g., NLTK, SpaCy)."
438,Cloud Computing,Knowledge,Hard,"What is a Cloud Access Security Broker (CASB)?"
439,Cybersecurity,Application,Medium,"Demonstrate the use of a password manager to improve personal security."
440,Machine Learning,Analysis,Hard,"Differentiate between L1 and L2 regularization."
441,Data Science,Comprehension,Medium,"Explain the concept of 'data provenance'."
442,Big Data,Analysis,Hard,"Analyze the challenges of ensuring data quality in a large-scale data pipeline."
443,DevOps,Evaluation,Hard,"Critique the practice of 'release-driven' development versus 'feature-driven' development."
444,IoT,Comprehension,Easy,"Describe the purpose of a device registry in an IoT platform."
445,Artificial Intelligence,Application,Hard,"Apply an object detection model like YOLO to identify objects in an image."
446,Cloud Computing,Analysis,Medium,"Compare the advantages of managed database services versus self-hosting databases on VMs."
447,Cybersecurity,Knowledge,Medium,"What is the 'principle of least privilege'?"
448,Machine Learning,Synthesis,Hard,"Propose a new neural network architecture for a specific task, such as time-series forecasting."
449,Data Science,Evaluation,Medium,"Assess the interpretability of a decision tree model versus a neural network."
450,Big Data,Application,Medium,"Use SQL-on-Hadoop tools to analyze data stored in HDFS."
451,Artificial Intelligence,Analysis,Hard,"Analyze the philosophical arguments for and against the possibility of conscious AI."
452,Cloud Computing,Application,Hard,"Implement a multi-factor authentication (MFA) policy for cloud user accounts."
453,Cybersecurity,Comprehension,Hard,"Explain the concept of a 'cyber kill chain'."
454,Machine Learning,Evaluation,Medium,"Critique the assumption of feature independence in Naive Bayes classifiers."
455,Data Science,Comprehension,Easy,"Explain the difference between a population and a sample in statistics."
456,Big Data,Synthesis,Hard,"Design a data governance framework for a large enterprise."
457,DevOps,Analysis,Medium,"Analyze the role of feedback in improving a CI/CD pipeline."
