QID,Domain,Bloom_Level,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
25,Cybersecurity,Knowledge,Hard,"What is a 'Software Bill of Materials' (SBOM)?","A formal, structured list of the components, libraries, and modules that are required to build a given piece of software","A bill for the cost of all software licenses used by a company","A document outlining the material design of a software's user interface","A list of all the bugs present in a piece of software","A"
26,Machine Learning,Comprehension,Medium,"What is the purpose of a validation set?","To tune a model's hyperparameters and prevent overfitting on the test set","To provide the final, unbiased evaluation of the model","To train the model from scratch","To check for duplicates in the data","A"
27,Cloud Computing,Knowledge,Easy,"What is 'serverless computing'?","A cloud model where the provider dynamically manages the allocation of machine resources, and you are billed for the actual amount of resources consumed","A computing model with no servers involved at all","A type of on-premises server that requires no setup","A method for running applications without an operating system","A"
28,Artificial Intelligence,Knowledge,Easy,"In the context of AI, what is an 'agent'?","An entity that perceives its environment and takes actions to achieve goals","A human who assists an AI system","A software library for building AI models","A specific type of neural network","A"
29,Data Science,Comprehension,Medium,"What does it mean for two variables to be correlated?","A statistical relationship exists between them, but it does not imply causation","One variable directly causes the other to change","The variables have the same mean and standard deviation","The variables are both categorical","A"
30,Big Data,Analysis,Medium,"What is the primary use case for a NoSQL database like MongoDB over a traditional SQL database?","Storing unstructured or semi-structured data with a flexible schema","Enforcing strict ACID transactions for financial data","Running complex analytical queries with many joins","Storing small amounts of highly structured data","A"
31,DevOps,Knowledge,Medium,"What is a 'container' in the context of software development?","A lightweight, standalone, executable package that includes everything needed to run a piece of software, including code, runtime, and libraries","A type of virtual machine","A physical server dedicated to a single application","A version control system for code","A"
32,IoT,Knowledge,Medium,"What is Zigbee?","A low-power, low-data-rate wireless protocol used for creating personal area networks, common in smart home devices","A high-speed protocol for streaming video from IoT cameras","A cloud platform for managing IoT devices","A type of IoT security vulnerability","A"
33,Cybersecurity,Comprehension,Medium,"What is the difference between authentication and authorization?","Authentication is verifying who you are, while authorization is determining what you are allowed to do","Authentication is for users, while authorization is for systems","Authentication uses passwords, while authorization uses biometrics","There is no difference; the terms are interchangeable","A"
34,Machine Learning,Application,Hard,"A company wants to predict the exact dollar amount a customer will spend in the next month. Which type of machine learning model should they build?","A regression model","A classification model","A clustering model","An anomaly detection model","A"
35,Cloud Computing,Comprehension,Medium,"What is the 'shared responsibility model' in cloud security?","A model where the cloud provider and the customer each have distinct responsibilities for securing the environment","A model where the cloud provider is responsible for all aspects of security","A model where the customer is responsible for all aspects of security","A model where security is outsourced to a third party","A"
36,Artificial Intelligence,Analysis,Medium,"What is a key advantage of reinforcement learning over supervised learning?","It can learn to solve complex problems with delayed rewards and without an explicit 'correct' answer for every step","It requires significantly less data to train","It is easier to implement and debug","It always finds the optimal solution to a problem","A"
37,Data Science,Knowledge,Easy,"What is a 'DataFrame'?","A two-dimensional, size-mutable, and potentially heterogeneous tabular data structure with labeled axes (rows and columns), common in Pandas (Python) and R","A type of 3D data visualization","A framework for deploying machine learning models","A hardware accelerator for data processing","A"
38,Big Data,Knowledge,Easy,"What does 'Hadoop' refer to?","An open-source framework for distributed storage and distributed processing of very large data sets","A popular brand of server hardware","A type of NoSQL database","A cloud computing provider","A"
39,DevOps,Comprehension,Hard,"What is the concept of 'immutable infrastructure'?","An approach where servers are never modified after deployment; instead, new servers are built and deployed to replace them","Infrastructure that cannot be accessed or changed by anyone","Hardware that is physically indestructible","A policy of never updating software on servers","A"
40,IoT,Application,Medium,"A farmer wants to create a system that automatically waters crops only when the soil moisture drops below a certain level. What two components are essential?","A soil moisture sensor and an actuator (to control the water valve)","A GPS module and a temperature sensor","A camera and a cloud database","A motion detector and an alarm","A"
41,Cybersecurity,Knowledge,Medium,"What is 'encryption'?","The process of converting data into a code to prevent unauthorized access","The process of deleting data securely","The process of creating backups of data","The process of scanning for viruses","A"
42,Machine Learning,Analysis,Hard,"What is the 'bias-variance tradeoff'?","A fundamental problem in balancing a model's ability to minimize error from incorrect assumptions (bias) versus its sensitivity to small fluctuations in the training set (variance)","The trade-off between using a biased dataset and a fair one","The trade-off between the speed of a model and its accuracy","The trade-off between using more features and using fewer features","A"
43,Cloud Computing,Knowledge,Medium,"What is a 'VPC' (Virtual Private Cloud)?","A logically isolated section of a public cloud where you can launch resources in a virtual network that you define","A physical data center that is privately owned","A high-speed connection between an on-premises data center and the cloud","A security group that acts as a virtual firewall","A"
44,Artificial Intelligence,Comprehension,Medium,"What is the main difference between a symbolic AI approach and a connectionist (neural network) approach?","Symbolic AI manipulates explicit symbols and rules, while connectionist AI learns patterns from data without explicit programming","Symbolic AI is newer than connectionist AI","Connectionist AI cannot be used for logical reasoning","Symbolic AI is always more accurate","A"
45,Data Science,Application,Medium,"An analyst wants to show the relationship between two continuous variables. What is the most appropriate type of chart?","A scatter plot","A pie chart","A bar chart","A histogram","A"
46,Big Data,Analysis,Hard,"What is a primary advantage of a 'data lakehouse' architecture over a traditional data lake?","It combines the low-cost storage of a data lake with the data management and transactional features of a data warehouse","It is a completely serverless architecture","It only works with unstructured data","It eliminates the need for data security","A"
47,DevOps,Knowledge,Easy,"What is 'version control'?","A system that records changes to a file or set of files over time so that you can recall specific versions later","A process for controlling which software versions are deployed","A tool for managing user permissions","A method for controlling the flow of network traffic","A"
48,IoT,Evaluation,Hard,"What is the most significant challenge in scaling an IoT deployment from a few devices to millions of devices?","Device management, including provisioning, authentication, monitoring, and updating, at scale","Finding enough physical space to store the devices","The cost of the individual sensor nodes","The speed of the internet connection","A"
49,Cybersecurity,Knowledge,Medium,"What is a 'vulnerability' in the context of cybersecurity?","A weakness in a system that can be exploited by a threat actor","The act of attacking a system","A piece of malicious software","A security policy that has been violated","A"
50,Machine Learning,Knowledge,Medium,"What is 'Natural Language Processing' (NLP)?","A field of AI that focuses on enabling computers to understand, interpret, and generate human language","A technique for processing signals from the natural world, like weather patterns","A method for optimizing computer network performance","A programming language designed for statistical analysis","A"
51,Cloud Computing,Comprehension,Medium,"What does it mean for a cloud service to be 'elastic'?","The ability of the service to automatically provision and de-provision computing resources to match demand","The ability of the service to stretch across multiple geographic regions","The flexibility of the pricing model","The ability of the service to resist security attacks","A"
52,Artificial Intelligence,Application,Medium,"A company wants to automatically tag objects (e.g., 'car', 'person', 'tree') in thousands of images. What type of AI model is best suited for this?","An object detection model (e.g., YOLO, Faster R-CNN)","A language model (e.g., GPT)","A clustering algorithm (e.g., K-Means)","A reinforcement learning agent","A"
53,Data Science,Knowledge,Hard,"What is the difference between a 'false positive' (Type I error) and a 'false negative' (Type II error)?","A false positive is incorrectly detecting a condition that is not present, while a false negative is failing to detect a condition that is present","A false positive is a human error, while a false negative is a machine error","A false positive relates to classification, while a false negative relates to regression","There is no difference; they are synonymous","A"
54,Big Data,Application,Hard,"A financial services company needs to process millions of transactions per second in real-time to detect fraud. Which technology would be most appropriate for the core of this system?","A stream-processing platform like Apache Flink or Kafka Streams","A batch-processing system like Hadoop MapReduce","A relational database like PostgreSQL","A data visualization tool like Tableau","A"
55,DevOps,Analysis,Medium,"What is the primary benefit of a microservices architecture?","It allows for services to be developed, deployed, and scaled independently, improving agility and resilience","It is simpler to manage and debug than a monolithic application","It results in lower overall infrastructure costs","It reduces the need for automated testing","A"
56,IoT,Comprehension,Hard,"What is the purpose of 'firmware over-the-air' (FOTA) updates for IoT devices?","To remotely update the device's embedded software to add features or patch security vulnerabilities","To change the physical location of the device using a drone","To update the data being sent by the device","To provide a wireless charging capability","A"
57,Cybersecurity,Knowledge,Easy,"What is 'malware'?","Software intentionally designed to cause disruption to a computer, server, client, or computer network","A hardware component that has failed","A mistake in a computer program","An outdated piece of software","A"
58,Machine Learning,Comprehension,Medium,"What is the purpose of a 'loss function' (or cost function) in machine learning?","To measure the difference between the model's prediction and the actual value, which is then minimized during training","To determine how much data is lost during preprocessing","To calculate the financial cost of running the model","To function as the main algorithm for the model","A"
59,Cloud Computing,Application,Medium,"A user needs to run a script once a day at a specific time to perform a simple data processing task. What is the most cost-effective and efficient cloud service to use?","A serverless function (e.g., AWS Lambda) triggered by a scheduler","A dedicated virtual machine that runs 24/7","A Kubernetes cluster","A bare-metal server","A"
60,Artificial Intelligence,Knowledge,Medium,"What is 'computer vision'?","A field of AI that trains computers to interpret and understand the visual world from digital images or videos","A type of computer monitor with very high resolution","A programming language for creating visual effects","A method for verifying the vision of a computer user","A"
61,Data Science,Knowledge,Easy,"What does 'EDA' stand for?","Exploratory Data Analysis","Efficient Data Algorithm","External Data Access","Estimated Data Accuracy","A"
62,Big Data,Knowledge,Hard,"What is the role of YARN (Yet Another Resource Negotiator) in Hadoop 2.x?","To manage the resources of the cluster and schedule tasks for processing","To store the data in a distributed manner","To provide a SQL-like interface for querying data","To secure the Hadoop cluster from external threats","A"
63,DevOps,Knowledge,Medium,"What is 'blue-green deployment'?","A release strategy where two identical production environments are maintained ('blue' and 'green'), with traffic switched from the old to the new version","A deployment strategy that uses environmentally friendly servers","A deployment that happens very slowly ('blue') and then very quickly ('green')","A method of deploying only to developers with blue or green security badges","A"
64,IoT,Analysis,Hard,"Why is power consumption a critical design constraint for many IoT devices?","Many devices are battery-powered and need to operate for months or years without intervention","High power consumption can cause the devices to overheat","The cost of electricity for millions of devices is too high","Regulations limit the amount of power an IoT device can use","A"
65,Cybersecurity,Comprehension,Medium,"What is the primary goal of a 'red team' in a security exercise?","To emulate the tactics and techniques of real-world attackers to test an organization's defenses","To defend the organization's systems against the red team","To act as a neutral referee between the red and blue teams","To develop the security policies for the organization","A"
66,Machine Learning,Analysis,Medium,"What is a key disadvantage of the K-Nearest Neighbors (KNN) algorithm?","It can be computationally expensive and slow for making predictions on large datasets because it needs to compare a new point to all existing points","It is highly prone to overfitting, regardless of the value of 'k'","It cannot be used for regression tasks","It requires the data to be linearly separable","A"
67,Cloud Computing,Knowledge,Easy,"What does 'SLA' stand for in a cloud context?","Service-Level Agreement","Secure Login Access","Software Lifecycle Automation","Standard Logging API","A"
68,Artificial Intelligence,Comprehension,Medium,"What is the main idea behind a 'genetic algorithm'?","It is an optimization technique inspired by natural selection, where a population of candidate solutions evolves towards a better solution","An algorithm that is genetically coded into a computer chip","A method for analyzing DNA sequences","An algorithm that can only be run on biological computers","A"
69,Data Science,Application,Medium,"An e-commerce company wants to build a system that suggests products to users based on their past browsing and purchase history. What is this system called?","A recommender system","A data warehouse","A sentiment analysis model","A customer support chatbot","A"
70,Big Data,Analysis,Hard,"What is the main benefit of using a columnar storage format like Parquet for big data analytics?","It improves query performance by allowing engines to read only the necessary columns, and it offers better data compression","It enforces ACID compliance for all transactions","It is optimized for fast writes of individual records","It stores data in a human-readable text format","A"
71,DevOps,Comprehension,Medium,"What is the purpose of 'monitoring' in a DevOps context?","To collect and analyze data about a system's performance and health to detect and resolve issues","To monitor employees to ensure they are working efficiently","To check for security vulnerabilities in the code","To track the project budget","A"
72,IoT,Evaluation,Medium,"What is a significant drawback of using standard Wi-Fi for a large network of small, battery-powered IoT sensors?","Its relatively high power consumption is not suitable for devices that need to last years on a single battery","It has a very limited range (only a few meters)","It is not a secure protocol","It is not compatible with TCP/IP","A"
73,Cybersecurity,Knowledge,Hard,"What is a 'man-in-the-middle' (MitM) attack?","An attack where the perpetrator secretly intercepts and relays communications between two parties who believe they are communicating directly","An attack that targets the physical security of a data center","A type of malware that remains dormant until a specific date","A social engineering attack that uses a fake authority figure","A"
74,Machine Learning,Comprehension,Hard,"What is the 'vanishing gradient problem'?","A difficulty in training deep neural networks where the gradients used to update the weights become extremely small, effectively stopping the learning process in the lower layers","A situation where the model's performance vanishes over time","When the model's gradient can no longer be computed","A security attack that erases the gradients during training","A"
75,Cloud Computing,Analysis,Medium,"What is the key difference between a 'load balancer' and an 'auto-scaling group'?","A load balancer distributes incoming traffic across multiple instances, while an auto-scaling group automatically adjusts the number of instances based on demand","A load balancer adds more CPU, while an auto-scaling group adds more RAM","A load balancer is a hardware device, while auto-scaling is software","A load balancer works at the network layer, while auto-scaling works at the application layer","A"
76,Artificial Intelligence,Knowledge,Easy,"What does 'AI' stand for?","Artificial Intelligence","Automated Information","Advanced Interface","Algorithmic Integration","A"
77,Data Science,Analysis,Medium,"Why is 'feature scaling' (e.g., normalization or standardization) important for some machine learning algorithms?","Algorithms that use distance metrics (like KNN, SVM, and K-Means) are sensitive to the scale of features, and scaling ensures all features contribute equally","It reduces the number of features in the dataset","It converts all features into a categorical format","It guarantees that the model will be 100% accurate","A"
78,Big Data,Comprehension,Medium,"What is the role of a 'data warehouse'?","To store large amounts of historical data from various sources in a structured way, optimized for business intelligence and analytical queries","To process real-time streaming data","To host a company's public website","To manage the daily operational transactions of a business","A"
79,DevOps,Knowledge,Medium,"What is 'Terraform'?","An open-source Infrastructure as Code (IaC) tool for provisioning and managing cloud and on-premises resources","A continuous integration server","A container runtime engine","A software testing framework","A"
80,IoT,Application,Hard,"A logistics company wants to track its fleet of trucks in real-time, monitor fuel consumption, and get alerts for maintenance issues. What combination of technologies is most appropriate?","GPS sensors for location, CAN bus readers for vehicle data, and a cellular (LTE/5G) modem for communication","Wi-Fi hotspots installed on every highway","Bluetooth sensors that connect to the driver's phone","Manual daily check-ins from the drivers","A"
81,Cybersecurity,Comprehension,Medium,"What is 'social engineering'?","A manipulation technique that uses psychological tricks to deceive individuals into divulging confidential information or performing specific actions","A type of engineering that focuses on building secure social media platforms","A method for analyzing the security of a social network","A hardware-based attack on a system","A"
82,Machine Learning,Analysis,Hard,"What is the primary advantage of a deep learning model over a traditional machine learning model like an SVM?","Deep learning models can automatically learn hierarchical feature representations from raw data, eliminating the need for manual feature engineering","They always require less data to train effectively","They are easier to interpret and explain","They are immune to overfitting","A"
83,Cloud Computing,Knowledge,Hard,"What is a 'Cloud Access Security Broker' (CASB)?","A security policy enforcement point placed between cloud service consumers and cloud service providers to interject enterprise security policies","A broker that helps companies choose a cloud provider","A physical hardware device that connects a data center to the cloud","A type of cloud-based firewall","A"
84,Artificial Intelligence,Comprehension,Hard,"What is the 'credit assignment problem' in reinforcement learning?","The challenge of determining which action in a sequence was responsible for a future reward","The problem of assigning financial credit for an AI's discovery","The difficulty of giving credit to the correct developer on an AI team","A bug in the billing system for AI cloud services","A"
85,Data Science,Knowledge,Medium,"What is 'A/B testing'?","A randomized experiment with two variants (A and B) used to compare two versions of a single variable to determine which performs better","A method for testing the blood type of a patient","A type of software unit test","A test to see if a model's accuracy is above or below a certain threshold","A"
86,Big Data,Application,Medium,"A team needs to periodically move large amounts of data from an on-premises relational database into their Hadoop cluster. Which tool is designed for this purpose?","Apache Sqoop","Apache Flume","Apache Hive","Apache Pig","A"
87,DevOps,Analysis,Medium,"What is the main cultural shift required to successfully adopt DevOps?","Breaking down silos between development and operations teams and fostering a culture of collaboration and shared responsibility","Adopting a specific set of tools like Docker and Kubernetes","Moving all infrastructure to the cloud","Hiring developers who also have operations experience","A"
88,IoT,Analysis,Hard,"What is a major challenge of ensuring data privacy in consumer IoT?","Users may not be fully aware of what data is being collected and how it is being used by the manufacturer or third parties","It is difficult to encrypt data on IoT devices","IoT devices cannot be protected by firewalls","The data is too large to be anonymized effectively","A"
8s,Cybersecurity,Knowledge,Medium,"What does 'CIA' stand for in the context of the security triad?","Confidentiality, Integrity, and Availability","Central Intelligence Agency","Certified Information Auditor","Common Internet Access","A"
90,Machine Learning,Knowledge,Medium,"What is a 'neural network'?","A computing system inspired by the biological neural networks that constitute animal brains, used to recognize patterns in data","A type of computer network hardware","A theoretical model of human consciousness","A diagram showing the network of neurons in a brain","A"
91,Cloud Computing,Comprehension,Medium,"What is the primary benefit of using 'object storage' (like AWS S3) for storing large, static files like images and videos?","It is highly scalable, durable, and cost-effective for unstructured data that is accessed via APIs","It provides the fastest possible read/write performance for transactional workloads","It enforces a strict file and folder hierarchy","It can be mounted like a local file system on any operating system","A"
92,Artificial Intelligence,Analysis,Medium,"What is a key limitation of a rule-based expert system?","It is often brittle and can fail when faced with situations not explicitly covered by its rules, and knowledge acquisition can be a bottleneck","It is unable to explain its reasoning process","It requires a massive dataset for training","It can only solve classification problems","A"
93,Data Science,Knowledge,Easy,"What is the 'mean' of a set of numbers?","The average of the numbers (the sum of the numbers divided by the count of the numbers)","The middle value in the sorted set of numbers","The most frequently occurring value in the set","The difference between the highest and lowest value","A"
94,Big Data,Knowledge,Medium,"What is 'Apache Spark'?","A unified analytics engine for large-scale data processing, known for its speed due to in-memory computation","A distributed, relational database","A tool for visualizing big data","A workflow management platform","A"
95,DevOps,Comprehension,Medium,"What is the purpose of a 'postmortem' (or 'retrospective') after a production incident?","To understand the root cause of the incident in a blameless way and identify actions to prevent it from recurring","To identify the individual responsible for the incident and assign blame","To calculate the financial cost of the outage","To write a public apology to the customers","A"
96,IoT,Knowledge,Medium,"What is 'Bluetooth Low Energy' (BLE)?","A wireless technology designed for low-power, short-range communication, commonly used in wearables and beacons","A version of Bluetooth that has a lower energy cost for the consumer","A less secure version of the standard Bluetooth protocol","A protocol for streaming high-quality audio with low energy","A"
97,Cybersecurity,Application,Hard,"A CISO wants to model potential attack paths against their organization and prioritize defenses based on known adversary tactics. Which framework is most useful?","The MITRE ATT&CK framework","The OWASP Top 10","The NIST Cybersecurity Framework","The ISO 27001 standard","A"
98,Machine Learning,Comprehension,Hard,"What is the 'kernel trick' used for in Support Vector Machines (SVMs)?","It allows SVMs to create a non-linear decision boundary by implicitly mapping the data to a higher-dimensional space without computing the coordinates","A method for speeding up the training of linear SVMs","A technique for selecting the best features for the SVM","A way to visualize the SVM's decision boundary","A"
99,Cloud Computing,Analysis,Medium,"What is the most significant benefit of using a 'serverless' architecture?","It eliminates the need for developers to manage servers, and the pricing model is based on actual usage, which can be very cost-effective","It provides the highest possible performance for any workload","It gives developers complete control over the underlying operating system","It is the most secure cloud architecture by default","A"
100,Artificial Intelligence,Knowledge,Medium,"What is 'supervised learning'?","A type of machine learning where the model learns from data that is labeled with the correct output","A type of learning where a human supervisor must approve every action the AI takes","A model that can only be used under supervision","Learning from data that has no labels","A"
101,Data Science,Comprehension,Medium,"What is the purpose of a 'confusion matrix'?","To evaluate the performance of a classification model by showing the number of true positives, true negatives, false positives, and false negatives","A matrix that shows how confused a model is during training","A tool for visualizing high-dimensional data","A method for shuffling data before training","A"
102,Big Data,Comprehension,Medium,"What is the key characteristic of a 'NoSQL' database?","It does not adhere to the traditional relational (table-based) database structure, offering more flexibility for various data models","It does not use any form of query language","It is not suitable for storing large amounts of data","It is an older technology than SQL databases","A"
103,DevOps,Knowledge,Easy,"What is 'Docker'?","An open platform for developing, shipping, and running applications inside containers","A type of virtual machine","A continuous integration server","A programming language","A"
104,IoT,Evaluation,Medium,"What is the main advantage of processing IoT data at the 'edge' instead of in the cloud?","It reduces latency, saves network bandwidth, and can provide functionality even when disconnected from the internet","It is more secure because the cloud is inherently insecure","It provides access to virtually unlimited computational power","It simplifies device management","A"
105,Cybersecurity,Knowledge,Medium,"What is a 'VPN'?","A Virtual Private Network, used to create a secure, encrypted connection over a less secure network like the public internet","A Very Powerful Network adapter","A Virus Protection Network","A Vulnerability Patching Notification system","A"
106,Machine Learning,Application,Medium,"A team needs to segment its customer base into distinct groups based on purchasing behavior, but has no predefined group labels. What algorithm is most suitable?","K-Means Clustering","Support Vector Machine (SVM)","Logistic Regression","A Recurrent Neural Network (RNN)","A"
107,Cloud Computing,Knowledge,Medium,"What is a 'load balancer'?","A device or service that distributes network or application traffic across multiple servers to improve responsiveness and availability","A tool for balancing the cost of different cloud services","A security device that blocks malicious traffic","A software library for multithreaded programming","A"
108,Artificial Intelligence,Comprehension,Hard,"What is 'backpropagation'?","The algorithm used to train neural networks by calculating the gradient of the loss function with respect to the network's weights","A method for propagating signals forward through a neural network to make a prediction","A type of neural network architecture","A technique for preventing a network from making backward connections","A"
109,Data Science,Analysis,Hard,"A model performs with 99% accuracy on the training set but only 70% on the test set. What is the most likely problem?","The model is overfitting the training data","The model is underfitting the training data","The learning rate is too low","The dataset is too small","A"
110,Big Data,Knowledge,Hard,"What is 'Apache Flink'?","A stream-processing framework for stateful computations over unbounded and bounded data streams, known for its low latency and high throughput","A batch-processing system for Hadoop","A graph database engine","A tool for data visualization","A"
111,DevOps,Comprehension,Medium,"What is the relationship between 'Docker' and 'Kubernetes'?","Docker is a container runtime that creates and runs containers, while Kubernetes is a container orchestrator that manages and scales containerized applications","Kubernetes is a newer version of Docker","Docker is for development, while Kubernetes is for production","They are competing products that do the exact same thing","A"
112,IoT,Knowledge,Easy,"What is a 'smart home'?","A residence equipped with lighting, heating, and electronic devices that can be controlled remotely by phone or computer","A home that has a very fast internet connection","A house that is designed by a famous architect","A home that generates its own electricity","A"
113,Cybersecurity,Analysis,Medium,"What is the primary difference between a 'white-hat' and a 'black-hat' hacker?","A 'white-hat' hacker is an ethical hacker who tests security with permission, while a 'black-hat' hacker acts with malicious intent","'White-hat' hackers only attack in the daytime, while 'black-hat' hackers attack at night","'White-hat' hackers use PCs, while 'black-hat' hackers use Macs","'White-hat' hackers are amateurs, while 'black-hat' hackers are professionals","A"
114,Machine Learning,Knowledge,Medium,"What is 'linear regression'?","A statistical method used to model the relationship between a dependent variable and one or more independent variables by fitting a linear equation to the observed data","An algorithm for classifying data into two categories","A method for grouping similar data points","An algorithm that learns by trial and error","A"
115,Cloud Computing,Application,Hard,"A company wants to keep its sensitive customer database on-premises but run its scalable web application in a public cloud. What is this architecture called?","Hybrid Cloud","Public Cloud","Private Cloud","Multi-Cloud","A"
116,Artificial Intelligence,Knowledge,Easy,"What is a 'chatbot'?","A computer program designed to simulate conversation with human users, especially over the Internet","A type of robot that can perform physical chores","A security program that blocks malicious chats","A social media platform for bots","A"
117,Data Science,Comprehension,Medium,"What is the purpose of 'data normalization'?","To scale numerical data to a common range, such as [0, 1], to prevent features with large scales from dominating distance-based algorithms","To convert all data into a normal distribution","To remove all anomalies from the data","To change the data into a human-readable format","A"
